SimTime,SimAlt,SimVel,State - Time (s),State - Flight Stage,State - PX (m),State - PY (m),State - PZ (m),State - VX (m/s),State - VY (m/s),State - VZ (m/s),State - AX (m/s/s),State - AY (m/s/s),State - AZ (m/s/s),State - Apogee Est (m),State - Time to Apogee (s),State - Off-Vert Angle (deg),State - Time in Stage (s),HITL_Barometer - Pres (hPa),HITL_Barometer - Temp (C),HITL_Barometer - Alt ASL (m),HITL_GPS - Lat (deg),HITL_GPS - Lon (deg),HITL_GPS - Alt (m),HITL_GPS - vN (m/s),HITL_GPS - vE (m/s),HITL_GPS - vD (m/s),HITL_GPS - Fix Quality,HITL_GPS - Time of Day,HITL_Accelerometer - Acc X (m/s^2),HITL_Accelerometer - Acc Y (m/s^2),HITL_Accelerometer - Acc Z (m/s^2),HITL_Gyroscope - Gyro X (rad/s),HITL_Gyroscope - Gyro Y (rad/s),HITL_Gyroscope - Gyro Z (rad/s),HITL_Magnetometer - Mag X (uT),HITL_Magnetometer - Mag Y (uT),HITL_Magnetometer - Mag Z (uT),MotorDriver - Motor Position,MotorDriver - Motor Angle,MotorDriver - Motor Velocity,MotorDriver - Battery Voltage,Bat Voltage - Voltage (V)
0.44,0.0,0.0,12.577,0,0.000,0.000,-1551.755,0.000,0.000,-246.761,0.000,0.000,-19.620,0.000,0.000,180.000,12.577,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000,-0.026,-0.1,0.051,24.598,4.831
0.72,0.0,0.0,12.834,0,33.603,-91.100,-191.575,1.999,-5.419,-176.563,0.000,0.000,-19.620,0.000,0.000,180.000,12.834,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000,-0.026,-0.1,-0.033,24.603,4.865
0.98,0.0,0.0,13.126,0,44.149,-119.692,-17.854,4.106,-11.131,-129.191,0.000,0.000,-19.620,0.000,0.000,180.000,13.126,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000,-0.026,-0.1,0.016,24.616,4.848
1.24,0.0,0.0,13.374,0,45.261,-122.708,-8.971,4.113,-11.151,-114.830,0.000,0.000,-19.620,0.000,0.000,180.000,13.374,1013.250,25.000,0.000,45.0000000,-122.0000000,0.000,0.000,0.000,0.000,8,00:00:00,0.000,0.000,9.810,0.000,0.000,0.000,20.000,10.000,-45.000,-0.026,-0.1,0.017,24.594,4.848
1.5,-105.88,0.0,15.569,0,40.243,-82.111,-111.074,-2.504,19.300,-65.019,0.035,-0.285,-19.642,0.000,0.000,179.720,15.569,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,0.009,24.591,4.842
1.76,-105.88,0.0,15.965,0,38.913,-74.463,-110.584,-2.637,19.343,-63.621,0.036,-0.296,-19.641,0.000,0.000,179.653,15.965,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,-0.007,24.587,4.848
2.02,-105.88,0.0,16.259,0,38.822,-73.955,-110.530,-2.394,17.506,-62.719,0.037,-0.305,-19.641,0.000,0.000,179.600,16.259,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,0.000,24.607,4.854
2.28,-105.88,0.0,16.508,0,38.851,-74.178,-110.102,-2.080,15.193,-59.075,0.038,-0.313,-19.641,0.000,0.000,179.555,16.508,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,-0.009,24.589,4.854
2.54,-105.88,0.0,16.801,0,38.894,-74.497,-109.670,-1.679,12.253,-53.259,0.039,-0.322,-19.641,0.000,0.000,179.499,16.802,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,0.002,24.594,4.854
2.8,-105.88,0.0,17.055,0,38.928,-74.748,-109.325,-1.352,9.859,-47.873,0.040,-0.331,-19.640,0.000,0.000,179.450,17.055,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,0.034,24.591,4.848
3.06,-105.88,0.0,17.467,0,38.969,-75.050,-108.768,-0.850,6.187,-37.230,0.042,-0.345,-19.640,0.000,0.000,179.368,17.467,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,0.027,24.591,4.848
3.32,-105.88,0.0,17.719,0,39.005,-75.311,-108.341,-0.661,4.801,-34.658,0.043,-0.354,-19.639,0.000,0.000,179.315,17.719,1026.040,12.310,-105.883,39.0824767,-75.8752763,2.190,0.000,0.000,0.000,8,00:00:00,0.029,0.237,9.833,0.000,0.000,0.000,575.000,1971.000,-14220.000,-0.026,-0.1,-0.031,24.594,4.831
